Annee;Site;Type;Dose;Répétition;Rendement;B;Ca;Cu;Fe;K;Mg;Mn;P;Zn;N;C;S
2014;10;Mg;0;2;25.96;49.7279;7948.765;2.955;80.327;4236.214;1953.577;183.960;902.231;9.292;10463.00;516620.00;654.00
2014;10;Mg;12;1;48.29;66.9109;7390.281;2.172;110.510;5214.025;1694.720;179.108;772.155;10.932;8907.50;518470.00;559.60
2014;10;Mg;12;2;26.04;76.7801;7006.873;2.476;151.249;5783.054;1685.877;231.181;832.185;10.584;10669.00;518160.00;704.10
2014;9;N;0;1;25.55;39.0532;8131.131;2.567;100.807;4313.239;1923.922;184.204;908.647;25.285;6895.80;508710.00;373.00
2014;9;N;0;2;33.64;49.6409;9236.251;2.725;94.938;4701.764;2235.805;186.370;1160.719;24.790;8699.20;522290.00;381.80
2014;9;N;15;1;41;53.3088;9024.253;2.457;138.665;4626.445;2100.859;250.878;923.854;23.834;8381.30;520070.00;339.00
2014;9;N;15;2;43.66;48.8058;9405.169;2.509;86.439;4495.661;2251.043;197.503;1056.806;25.572;9209.40;519410.00;599.50
2014;9;N;30;1;58.81;58.1784;9674.336;3.549;184.987;4814.856;2073.560;366.125;926.219;30.758;9680.00;517650.00;1282.10
2014;9;N;30;2;39.32;58.7070;8213.448;3.767;111.629;4589.725;2358.950;414.238;1005.421;31.095;9861.10;515110.00;829.60
2014;9;N;45;1;58.7;62.0526;10273.866;3.185;118.227;4713.644;2074.941;302.576;918.503;26.315;10170.00;519460.00;955.00
2014;9;N;45;2;40.36;52.3797;8982.976;2.793;134.300;4993.276;2156.287;256.640;1025.108;21.647;11026.00;521440.00;612.00
2014;9;N;60;1;54.45;56.6767;9128.288;2.610;106.538;4949.985;2099.701;402.737;955.131;22.275;11083.00;524060.00;902.30
2014;9;N;60;2;58.58;53.7890;9935.870;3.724;56.448;4841.891;2058.336;388.089;976.029;32.865;11121.00;513670.00;848.30
2014;9;P;0;1;52.68;51.6206;8558.660;3.261;114.564;5741.058;2028.769;306.824;955.132;23.841;11048.00;517230.00;1329.40
2014;9;P;0;2;35.77;42.4139;9039.652;2.705;86.523;4736.001;1939.244;345.776;865.945;25.790;10469.00;517020.00;1132.10
2014;9;P;15;1;45.57;49.0245;9090.541;2.661;139.879;4484.613;1740.455;289.202;859.266;25.739;8787.90;516440.00;391.40
2014;9;P;15;2;55.74;62.9890;9030.626;2.800;86.818;5373.110;2076.488;392.533;1028.253;26.778;12201.00;517020.00;1165.00
2014;9;P;30;1;68.42;68.2822;10014.167;3.017;120.940;5401.788;2287.748;334.832;1102.891;27.476;11632.00;517610.00;1104.50
2014;9;P;30;2;51.95;69.3656;9169.949;2.652;106.713;5248.839;2097.368;327.337;1084.179;25.733;11575.00;518670.00;1556.60
2014;9;K;0;1;44.96;64.1689;10353.745;2.763;99.236;4025.661;2303.208;359.387;962.058;25.285;10107.00;517410.00;634.00
2014;9;K;0;2;55.07;56.5260;9832.418;2.485;134.325;4510.534;2370.198;313.283;1005.123;24.010;10494.00;521190.00;862.20
2014;9;K;40;1;58.95;51.7012;9126.322;3.065;132.068;5204.747;2174.093;242.102;1033.038;28.343;10845.00;519510.00;873.70
2014;9;K;40;2;41.25;58.7983;9145.209;2.242;102.022;4702.673;2114.659;343.365;964.784;27.929;10775.00;518440.00;1183.50
2014;9;K;80;1;59.28;83.9534;8410.905;2.638;100.300;5865.132;2128.341;305.986;1032.603;22.115;12182.00;523170.00;1659.10
2014;9;K;80;2;37.85;55.3208;9516.856;3.056;71.465;5227.025;2195.058;455.643;1112.494;24.593;12594.00;514660.00;952.30
2014;9;K;120;1;61.15;61.2189;9620.407;3.145;176.020;5258.638;2108.815;344.902;1010.605;24.580;10979.00;512620.00;1038.80
2014;9;K;120;2;59.7;61.3771;8696.272;2.454;95.282;5255.018;2313.337;339.415;1092.618;27.334;11627.00;523860.00;1093.10
2014;9;B;0;1;57.86;42.7794;9222.275;2.288;125.341;5030.885;2099.888;298.262;970.644;25.706;11356.00;505520.00;1199.70
2014;9;B;0;2;34.88;36.4130;8910.554;2.714;56.430;4602.840;2234.371;337.563;998.333;26.011;11004.00;520440.00;976.80
2014;9;B;1;1;57.59;79.2869;9673.831;3.966;180.711;4884.565;2158.138;345.848;1014.092;25.260;11214.00;518070.00;1477.90
2014;9;B;1;2;49.68;56.7177;8590.296;2.468;78.334;4840.464;2002.612;297.937;948.244;25.108;9854.60;517560.00;996.10
